Gene,XGB_Rank,AE_Rank,Combined_Score
SEC14L5,0.0,0.4724486,0.2362243
RP11-175K6.1,0.0,0.4722719,0.23613594
TARSL2,0.0,0.4721919,0.23609595
PGRMC2,0.0,0.47209612,0.23604806
RP11-178G16.4,0.0,0.47206077,0.23603038
AC015849.2,0.0,0.4720526,0.2360263
FNTA,0.0,0.4720151,0.23600756
ZNF32,0.0,0.4720065,0.23600325
MCUR1,0.0,0.47199002,0.23599501
SLBP,0.0,0.47182184,0.23591092
PLXNA1,0.0,0.47181433,0.23590717
RP11-354M20.3,0.0,0.47176194,0.23588097
PF4V1,0.0,0.47174287,0.23587143
AC068620.1,0.0,0.4717245,0.23586226
VIL1,0.0,0.47157997,0.23578998
TUBB1,0.0,0.47154224,0.23577112
CCND2,0.0,0.47141698,0.23570849
CORO1B,0.0,0.4713753,0.23568764
AC093323.3,0.0,0.47129288,0.23564644
PVALB,0.0,0.47129035,0.23564517
RP11-548P2.2,0.0,0.471267,0.2356335
JMJD7,0.0,0.47125384,0.23562692
PPP6C,0.0,0.47124663,0.23562331
ZAP70,0.0,0.47106558,0.23553279
AATF,0.0,0.4710204,0.2355102
GBP4,0.0,0.47078964,0.23539482
NRN1,0.0,0.47066057,0.23533028
ZNF175,0.0,0.47062686,0.23531343
UBOX5-AS1,0.0,0.47057414,0.23528707
SYP,0.0,0.4705655,0.23528275
CLIP1,0.0,0.47042978,0.23521489
SELL,0.0,0.47039115,0.23519558
ITM2A,0.0,0.470325,0.2351625
TIMM22,0.0,0.47003135,0.23501568
AC096559.1,0.0,0.47002506,0.23501253
GZMA,0.0,0.4700231,0.23501155
MZT1,0.0,0.47000104,0.23500052
IL4I1,0.0,0.46997347,0.23498674
CTNNB1,0.0,0.46992707,0.23496354
TYW5,0.0,0.4699257,0.23496285
PBLD,0.0,0.46988988,0.23494494
PDF,0.0,0.46982598,0.23491299
SSBP1,0.0,0.46982294,0.23491147
RP4-761J14.8,0.0,0.46973696,0.23486848
AC103801.2,0.0,0.46962196,0.23481098
RP11-647K16.1,0.0,0.46955776,0.23477888
MVD,0.0,0.46955466,0.23477733
SPIB,0.0,0.46951416,0.23475708
DNAJC27,0.0,0.46950218,0.23475109
F5,0.0,0.46933517,0.23466758
CD247,0.0,0.46931088,0.23465544
CAMK2G,0.0,0.46930766,0.23465383
NUPR1,0.0,0.46927226,0.23463613
