Gene,XGB_Rank,AE_Rank,Combined_Score
LINC00610,0.0,0.41539344,0.20769672
USP30,0.0,0.41533417,0.20766708
LTBP1,0.0,0.41493842,0.20746921
ST3GAL3,0.0,0.41453063,0.20726532
C11orf85,0.0,0.41431034,0.20715517
RP11-138A9.2,0.0,0.41422012,0.20711006
CMTM5,0.0,0.41407356,0.20703678
RP11-141B14.1,0.0,0.41380987,0.20690493
MTERFD1,0.0,0.41356948,0.20678474
CYB5B,0.0,0.41338423,0.20669211
HIST1H1B,0.0,0.4127895,0.20639475
RP11-53B2.3,0.0,0.41278923,0.20639461
NSA2,0.0,0.41261175,0.20630588
CHD2,0.0,0.41250524,0.20625262
C16orf58,0.0,0.41228777,0.20614389
CTB-152G17.6,0.0,0.41220942,0.20610471
RP11-367G6.3,0.0,0.41204748,0.20602374
ZNF799,0.0,0.41201717,0.20600858
API5,0.0,0.41160718,0.20580359
POLR3E,0.0,0.4115684,0.2057842
RP11-755B10.3,0.0,0.41150174,0.20575087
DPY19L2,0.0,0.41137195,0.20568597
CTD-2012K14.7,0.0,0.41109854,0.20554927
TNFRSF4,0.0,0.41096663,0.20548332
ACD,0.0,0.41085112,0.20542556
TNFRSF17,0.0,0.41070428,0.20535214
PJA1,0.0,0.41053537,0.20526768
HIST1H2AH,0.0,0.41012877,0.20506439
PTPN7,0.0,0.40999085,0.20499542
MPHOSPH10,0.0,0.40980166,0.20490083
RP4-773N10.4,0.0,0.40967888,0.20483944
CLECL1,0.0,0.40910625,0.20455313
ABCB1,0.0,0.40899867,0.20449933
SAFB2,0.0,0.4084706,0.2042353
TBXA2R,0.0,0.4084449,0.20422246
GYS1,0.0,0.40811518,0.20405759
U2SURP,0.0,0.40726027,0.20363013
ARHGAP11A,0.0,0.4069399,0.20346995
PPP1R8,0.0,0.40690058,0.20345029
RP11-378J18.3,0.0,0.40654287,0.20327143
ARHGEF4,0.0,0.40627828,0.20313914
CCDC163P,0.0,0.40627074,0.20313537
ZCCHC11,0.0,0.4059548,0.2029774
SF3B1,0.0,0.40570697,0.20285349
MAGEH1,0.0,0.40561274,0.20280637
LIPC,0.0,0.40469202,0.20234601
CYP46A1,0.0,0.4046332,0.2023166
BOLA3,0.0,0.40279505,0.20139752
NBR1,0.0,0.40250325,0.20125163
CAPN12,0.0,0.4024557,0.20122784
RP11-219B17.1,0.0,0.40232742,0.20116371
SSBP3,0.0,0.4023134,0.2011567
PAICS,0.0,0.40226743,0.20113371
RFC1,0.0,0.4021091,0.20105454
NOG,0.0,0.40120634,0.20060317
CTD-2227I18.1,0.0,0.40032947,0.20016474
ZNF212,0.0,0.4001719,0.20008595
RFX4,0.0,0.3998809,0.19994044
U73166.2,0.0,0.39953956,0.19976978
NARG2,0.0,0.3994765,0.19973825
EDC3,0.0,0.39896226,0.19948113
ARIH2OS,0.0,0.39894176,0.19947088
RP11-510J16.5,0.0,0.39885712,0.19942856
RP11-554A11.8,0.0,0.3987784,0.1993892
MDS2,0.0,0.39822993,0.19911496
MPP6,0.0,0.3981323,0.19906615
RP11-196G11.2,0.0,0.39806473,0.19903237
ACVR2B,0.0,0.39742965,0.19871482
AP001462.6,0.0,0.39687896,0.19843948
GPATCH4,0.0,0.3960452,0.1980226
CAMK2N1,0.0,0.39503354,0.19751677
ARHGDIG,0.0,0.3943953,0.19719765
SMC2,0.0,0.3942717,0.19713585
ALOX12,0.0,0.39290196,0.19645098
CTNNAL1,0.0,0.3916805,0.19584025
AP3M2,0.0,0.39031556,0.19515778
RPS6KL1,0.0,0.3894591,0.19472955
LRRC8C,0.0,0.3893985,0.19469924
FBXO21,0.0,0.38799018,0.19399509
SLC39A14,0.0,0.3879882,0.1939941
GDF11,0.0,0.38693455,0.19346727
AC002310.7,0.0,0.38539708,0.19269854
RP11-493L12.4,0.0,0.38521907,0.19260953
AL161784.1,0.0,0.38482472,0.19241236
RP11-559M23.1,0.0,0.3847471,0.19237354
POMT1,0.0,0.38472122,0.19236061
RP11-5C23.1,0.0,0.3843886,0.1921943
RBM48,0.0,0.38388857,0.19194429
CRIP3,0.0,0.3832458,0.1916229
DENND5B,0.0,0.38301298,0.19150649
GRAP,0.0,0.38268209,0.19134104
RP11-304L19.2,0.0,0.3826744,0.1913372
CLYBL,0.0,0.3824765,0.19123825
GPR171,0.0,0.38214427,0.19107214
RGPD8,0.0,0.38132328,0.19066164
RP11-314N13.3,0.0,0.38121694,0.19060847
RP11-247A12.2,0.0,0.38115472,0.19057736
RP11-70P17.1,0.0,0.3805856,0.1902928
ADAL,0.0,0.3804531,0.19022655
AKTIP,0.0,0.3791437,0.18957184
INVS,0.0,0.37797058,0.18898529
ZNF195,0.0,0.3770131,0.18850654
RP11-408A13.4,0.0,0.37682736,0.18841368
AC005224.2,0.0,0.37668982,0.18834491
JAKMIP1,0.0,0.3761804,0.1880902
KRTAP5-AS1,0.0,0.37568,0.18784
RP11-432I5.1,0.0,0.3755547,0.18777736
LZTS2,0.0,0.37491193,0.18745597
VTI1A,0.0,0.37445593,0.18722796
GIPC2,0.0,0.3740094,0.1870047
RP5-1028K7.2,0.0,0.373025,0.1865125
SERPINE2,0.0,0.37294963,0.18647482
ATAD3C,0.0,0.37266153,0.18633077
POLD2,0.0,0.3723223,0.18616115
DMTN,0.0,0.3711643,0.18558215
TMEM177,0.0,0.36839828,0.18419914
TSPAN15,0.0,0.3647799,0.18238994
LIN52,0.0,0.3638909,0.18194544
TIGIT,0.0,0.36057815,0.18028907
ANKAR,0.0,0.3604308,0.1802154
RFPL2,0.0,0.3597651,0.17988256
PDCD1,0.0,0.3550221,0.17751105
